"year","age"
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,3
2010,4
2010,4
2010,4
2010,4
2010,4
2010,4
2010,4
2010,4
2010,4
2010,4
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,5
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,6
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,7
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,8
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,9
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2010,10
2011,2
2011,2
2011,2
2011,2
2011,2
2011,3
2011,3
2011,3
2011,3
2011,3
2011,3
2011,3
2011,3
2011,3
2011,4
2011,4
2011,4
2011,4
2011,4
2011,4
2011,4
2011,4
2011,4
2011,4
2011,4
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,5
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,6
2011,7
2011,7
2011,7
2011,7
2011,7
2011,7
2011,7
2011,7
2011,7
2011,7
2011,7
2011,7
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,8
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,9
2011,10
2011,10
2011,10
2011,10
2011,10
2011,10
2011,10
2011,10
2011,10
2011,10
2011,10
2011,11
2011,11
2011,11
2011,11
2011,11
2011,11
2011,11
2011,11
2011,11
2011,11
2011,11
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,3
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,4
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,5
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,6
2012,7
2012,7
2012,7
2012,7
2012,7
2012,7
2012,7
2012,7
2012,7
2012,7
2012,7
2012,8
2012,8
2012,8
2012,8
2012,8
2012,8
2012,8
2012,9
2012,9
2012,9
2012,9
2012,9
2012,9
2012,9
2012,9
2012,9
2012,10
2012,10
2012,10
2012,10
2012,10
2012,10
2012,10
2012,10
2012,10
2012,10
2012,12
2012,12
