stock recruits
4.08	120
3.93	136.67
3.78	40
3.64	70
3.52	970
3.13	96.67
3.06	56.67
2.95	6.67
2.77	36.67
2.77	66.67
2.52	20
2.43	206.67
2.22	176.67
2.08	243.33
2.25	663.33
1.4	593.33
1.69	66.67
1.73	13.33
1.47	66.67
1.42	83.33
0.94	1403.33
0.41	1770
0.32	1896.67
0.12	276.67
0.18	316.67
0.66	233.33
0.65	190
1.12	26.67
1.02	13.33
0.93	-3.33
0.84	73.33
0.79	13.33
0.72	-6.67
0.69	10
0.62	-16.67
0.6	3.33
0.58	30
0.61	53.33
0.63	73.33
0.67	73.33
0.61	106.67
0.51	110
0.53	46.67
0.49	3.33
0.44	36.67
0.37	6.67
0.38	-3.33
0.3	-6.67
0.36	93.33
0.35	116.67
0.3	110
0.14	186.67
0.07	123.33
0.02	103.33
0.12	103.33
0.21	93.33
0.18	86.67
0.25	63.33
0.27	43.33
0.21	30
0.18	53.33
0.13	53.33
0.08	60
0.06	36.67
0.09	3.33
0.16	3.33
7.21	101.97
10.34	161.18
15.61	148.03
17.34	6.58
18.03	26.32
19.21	72.37
21.85	29.61
25.11	154.61
27.75	13.16
44.18	125
48.35	78.95
