setID,loc,grid,year,tl,w,sex,mat,age
2003001,1,940,2003,360,460,male,mature,2
2003001,1,940,2003,371,571,male,mature,2
2003001,1,940,2003,375,507,male,mature,2
2003001,1,940,2003,375,584,male,mature,2
2003001,1,940,2003,375,537,male,mature,2
2003001,1,940,2003,376,553,male,mature,2
2003001,1,940,2003,379,500,female,immature,2
2003001,1,940,2003,379,522,male,mature,2
2003001,1,940,2003,380,525,male,mature,2
2003001,1,940,2003,380,543,male,mature,2
2003001,1,940,2003,381,511,male,mature,2
2003001,1,940,2003,381,543,male,mature,2
2003001,1,940,2003,382,563,female,immature,2
2003001,1,940,2003,384,551,male,mature,2
2003001,1,940,2003,385,586,male,mature,2
2003001,1,940,2003,385,526,male,mature,2
2003001,1,940,2003,386,609,male,mature,2
2003001,1,940,2003,387,553,male,mature,2
2003001,1,940,2003,390,554,male,mature,2
2003001,1,940,2003,391,614,male,mature,2
2003001,1,940,2003,391,620,female,mature,2
2003001,1,940,2003,391,665,male,mature,2
2003001,1,940,2003,391,573,male,mature,2
2003001,1,940,2003,391,538,male,mature,2
2003001,1,940,2003,393,531,male,immature,2
2003001,1,940,2003,394,566,female,mature,2
2003001,1,940,2003,395,573,male,mature,2
2003001,1,940,2003,395,573,male,mature,2
2003001,1,940,2003,395,579,male,mature,2
2003001,1,940,2003,396,608,male,mature,2
2003001,1,940,2003,396,563,male,mature,2
2003001,1,940,2003,396,682,male,mature,2
2003001,1,940,2003,397,627,male,mature,2
2003001,1,940,2003,400,619,male,mature,2
2003001,1,940,2003,400,593,male,mature,2
2003001,1,940,2003,400,638,male,mature,2
2003001,1,940,2003,401,630,female,immature,2
2003001,1,940,2003,401,611,male,mature,2
2003001,1,940,2003,401,655,male,mature,2
2003001,1,940,2003,401,590,male,mature,2
2003001,1,940,2003,401,564,male,mature,2
2003001,1,940,2003,401,618,male,mature,2
2003001,1,940,2003,401,630,male,mature,2
2003001,1,940,2003,401,605,male,mature,2
2003001,1,940,2003,401,626,male,mature,2
2003001,1,940,2003,402,694,male,mature,2
2003001,1,940,2003,402,616,male,mature,2
2003001,1,940,2003,403,640,male,mature,2
2003001,1,940,2003,404,636,male,mature,2
2003001,1,940,2003,405,634,male,mature,2
2003001,1,940,2003,405,653,male,mature,2
2003001,1,940,2003,405,582,male,mature,2
2003001,1,940,2003,405,622,female,immature,2
2003001,1,940,2003,406,644,male,mature,2
2003001,1,940,2003,406,651,male,mature,2
2003001,1,940,2003,406,752,male,mature,2
2003001,1,940,2003,406,558,male,mature,2
2003001,1,940,2003,407,645,male,mature,2
2003001,1,940,2003,408,634,male,mature,2
2003001,1,940,2003,409,664,male,mature,2
2003001,1,940,2003,410,709,female,immature,2
2003001,1,940,2003,410,699,male,mature,2
2003001,1,940,2003,410,615,male,mature,2
2003001,1,940,2003,410,663,male,mature,2
2003001,1,940,2003,411,612,female,mature,2
2003001,1,940,2003,411,623,male,mature,2
2003001,1,940,2003,411,709,male,mature,2
2003001,1,940,2003,411,664,male,mature,2
2003001,1,940,2003,413,680,female,immature,2
2003001,1,940,2003,413,695,male,mature,2
2003001,1,940,2003,414,698,male,mature,2
2003001,1,940,2003,414,659,male,mature,2
2003001,1,940,2003,415,683,female,immature,2
2003001,1,940,2003,415,684,female,mature,2
2003001,1,940,2003,415,686,male,mature,2
2003001,1,940,2003,415,745,male,mature,2
2003001,1,940,2003,415,705,male,mature,2
2003001,1,940,2003,416,673,male,mature,2
2003001,1,940,2003,416,715,female,immature,2
2003001,1,940,2003,417,738,male,mature,2
2003001,1,940,2003,417,730,male,immature,2
2003001,1,940,2003,417,658,male,mature,2
2003001,1,940,2003,417,701,male,mature,2
2003001,1,940,2003,418,716,male,mature,2
2003001,1,940,2003,420,706,male,mature,2
2003001,1,940,2003,420,706,male,mature,2
2003001,1,940,2003,420,690,male,mature,2
2003001,1,940,2003,420,791,female,mature,2
2003001,1,940,2003,421,564,female,immature,2
2003001,1,940,2003,421,707,female,immature,2
2003001,1,940,2003,421,722,female,mature,2
2003001,1,940,2003,421,740,male,mature,2
2003001,1,940,2003,421,757,male,mature,2
2003001,1,940,2003,421,770,male,mature,2
2003001,1,940,2003,422,757,male,immature,2
2003001,1,940,2003,423,723,male,mature,2
2003001,1,940,2003,424,721,female,immature,2
2003001,1,940,2003,424,824,male,mature,2
2003001,1,940,2003,424,783,male,mature,2
2003001,1,940,2003,426,761,male,mature,2
2003001,1,940,2003,427,881,male,mature,2
2003001,1,940,2003,427,773,female,immature,2
2003001,1,940,2003,429,760,male,mature,2
2003001,1,940,2003,429,859,female,mature,2
2003001,1,940,2003,429,771,female,immature,2
2003001,1,940,2003,429,735,female,immature,2
2003001,1,940,2003,430,719,female,immature,2
2003001,1,940,2003,430,726,male,mature,2
2003001,1,940,2003,430,759,male,mature,2
2003001,1,940,2003,430,800,female,immature,2
2003001,1,940,2003,431,789,female,immature,2
2003001,1,940,2003,431,791,female,immature,2
2003001,1,940,2003,431,761,female,mature,2
2003001,1,940,2003,431,815,male,mature,2
2003001,1,940,2003,432,749,male,mature,2
2003001,1,940,2003,435,794,male,mature,2
2003001,1,940,2003,436,855,male,mature,2
2003001,1,940,2003,438,799,male,mature,4
2003001,1,940,2003,440,782,female,immature,2
2003001,1,940,2003,440,774,male,mature,2
2003001,1,940,2003,440,750,female,immature,2
2003001,1,940,2003,441,753,female,immature,2
2003001,1,940,2003,441,906,female,immature,2
2003001,1,940,2003,444,847,male,mature,3
2003001,1,940,2003,445,853,female,mature,2
2003001,1,940,2003,445,829,female,immature,2
2003001,1,940,2003,445,851,male,mature,2
2003001,1,940,2003,445,874,female,mature,2
2003001,1,940,2003,450,918,female,mature,2
2003001,1,940,2003,451,961,female,mature,2
2003001,1,940,2003,452,949,male,mature,7
2003001,1,940,2003,456,923,male,mature,3
2003001,1,940,2003,458,877,female,immature,2
2003001,1,940,2003,460,919,female,immature,2
2003001,1,940,2003,461,1053,female,immature,2
2003001,1,940,2003,469,950,male,mature,3
2003001,1,940,2003,470,1052,male,mature,3
2003001,1,940,2003,471,1027,male,mature,3
2003001,1,940,2003,474,1085,male,mature,4
2003001,1,940,2003,474,1127,male,mature,4
2003001,1,940,2003,475,951,male,mature,4
2003001,1,940,2003,479,1207,male,mature,4
2003001,1,940,2003,481,1081,male,mature,3
2003001,1,940,2003,481,1022,male,mature,4
2003001,1,940,2003,491,1096,male,mature,4
