# Box 5.4
#
tl age
388	4
418	4
438	4
428	5
539	10
432	4
444	7
421	4
438	4
419	4
463	6
423	4
458	6
452	5
418	4
436	6
418	4
426	6
399	4
446	7
460	6
392	4
397	4
437	6
425	4
462	6
457	5
468	5
433	7
424	5
427	5
480	8
434	4
443	6
416	4
474	6
437	6
475	8
416	6
420	4
448	6
410	6
441	5
435	5
415	4
425	5
443	6
446	5
413	4
465	7
407	4
444	6
464	7
468	6
456	6
445	5
434	5
441	7
399	4
426	4
447	8
437	4
463	7
428	6
419	5
424	4
434	5
445	7
421	4
452	5
435	6
381	3
448	5
443	7
435	7
434	6
421	4
462	8
427	4
360	3
389	4
448	5
473	7
434	6
490	8
449	6
416	4
421	3
338	3
458	5
408	5
428	5
430	5
426	7
455	8
